report_id,report_date,category,content_type,reported_user_id,region,status,resolution_time_hours,decision,reviewer_type,queue_name,reporter_user_id
1,2024-04-12,spam,video,2474,India,resolved,3.0,warned,auto,spam_queue,6694
2,2024-12-14,spam,comment,3255,Brazil,resolved,2.0,removed,auto,spam_queue,126
3,2024-09-27,hate,comment,155,UK,resolved,26.0,removed,human,abuse_queue,6104
4,2024-04-16,spam,video,148,India,resolved,5.0,removed,auto,spam_queue,4376
5,2024-03-12,spam,comment,33,UK,resolved,2.0,rejected,auto,spam_queue,246
6,2024-07-07,copyright,video,50,India,resolved,17.0,removed,human,copyright_queue,2847
7,2024-01-21,hate,comment,4735,Germany,resolved,8.0,removed,auto,abuse_queue,6275
8,2024-04-12,spam,short,2165,Brazil,open,,removed,auto,spam_queue,4142
9,2024-05-01,spam,comment,4921,Brazil,open,,rejected,human,spam_queue,4656
10,2024-08-02,spam,comment,3776,Brazil,resolved,26.0,ignored,human,spam_queue,2902
11,2024-11-26,copyright,comment,171,Brazil,resolved,1.0,removed,auto,copyright_queue,5351
12,2024-03-28,copyright,comment,68,Germany,resolved,14.0,removed,human,copyright_queue,75
13,2024-04-09,hate,comment,3400,Germany,resolved,14.0,removed,auto,abuse_queue,7207
14,2024-12-25,spam,comment,3839,Brazil,open,,ignored,auto,spam_queue,4598
15,2024-05-31,spam,comment,4917,Germany,resolved,17.0,ignored,human,spam_queue,5184
16,2024-05-10,harassment,video,689,US,resolved,49.0,removed,human,abuse_queue,3504
17,2024-05-29,spam,comment,121,India,resolved,1.0,ignored,auto,spam_queue,115
18,2024-11-04,harassment,video,3873,US,resolved,10.0,removed,auto,abuse_queue,251
19,2024-09-14,harassment,comment,1503,UK,resolved,18.0,removed,human,abuse_queue,7030
20,2024-12-09,spam,short,2640,India,resolved,3.0,removed,auto,spam_queue,5114
21,2024-10-20,copyright,video,3186,US,resolved,37.0,removed,human,copyright_queue,6886
22,2024-07-10,spam,comment,152,India,resolved,44.0,removed,human,spam_queue,6365
23,2024-10-03,harassment,comment,160,India,resolved,9.0,warned,auto,abuse_queue,1057
24,2024-06-09,spam,video,2420,Germany,open,,removed,auto,spam_queue,7619
25,2024-11-09,harassment,comment,2042,Brazil,resolved,14.0,removed,auto,abuse_queue,165
26,2024-01-22,harassment,video,1041,India,resolved,39.0,removed,human,abuse_queue,2375
27,2024-09-09,spam,video,185,UK,resolved,5.0,warned,auto,spam_queue,4109
28,2024-08-23,spam,comment,2817,India,resolved,16.0,warned,human,spam_queue,5106
29,2024-12-10,spam,comment,194,Brazil,resolved,1.0,rejected,auto,spam_queue,7526
30,2024-02-18,spam,comment,1443,India,resolved,5.0,removed,auto,spam_queue,6577
31,2024-02-28,harassment,comment,130,Brazil,resolved,31.0,removed,human,abuse_queue,4327
32,2024-06-18,spam,comment,2754,Germany,resolved,1.0,removed,auto,spam_queue,12
33,2024-07-06,spam,comment,66,Germany,resolved,2.0,rejected,auto,spam_queue,5577
34,2024-09-27,spam,short,129,Brazil,resolved,4.0,removed,auto,spam_queue,6856
35,2024-07-08,harassment,video,1536,UK,resolved,17.0,removed,human,abuse_queue,1761
36,2024-06-23,harassment,comment,4004,Brazil,resolved,53.0,removed,human,abuse_queue,4579
37,2024-02-20,spam,video,2682,Brazil,resolved,1.0,ignored,auto,spam_queue,3900
38,2024-12-29,harassment,comment,2986,India,resolved,13.0,removed,auto,abuse_queue,6847
39,2024-02-24,hate,comment,127,UK,resolved,53.0,removed,human,abuse_queue,1022
40,2024-08-31,spam,comment,3570,US,resolved,1.0,removed,auto,spam_queue,1928
41,2024-11-15,harassment,comment,3182,Germany,resolved,10.0,removed,auto,abuse_queue,4974
42,2024-05-10,spam,video,937,Brazil,resolved,22.0,removed,human,spam_queue,4078
43,2024-11-02,spam,video,433,India,resolved,5.0,ignored,auto,spam_queue,57
44,2024-05-14,harassment,video,3185,Germany,resolved,19.0,removed,human,abuse_queue,229
45,2024-01-21,spam,video,3649,Brazil,resolved,38.0,ignored,human,spam_queue,254
46,2024-11-24,hate,comment,88,US,resolved,7.0,removed,auto,abuse_queue,5648
47,2024-06-15,spam,comment,1477,UK,resolved,40.0,removed,human,spam_queue,6356
48,2024-09-30,spam,video,3283,Germany,resolved,1.0,ignored,auto,spam_queue,949
49,2024-03-29,harassment,comment,4951,Brazil,resolved,41.0,removed,human,abuse_queue,6563
50,2024-11-11,harassment,comment,4778,Brazil,open,,removed,auto,abuse_queue,3047
51,2024-01-14,harassment,video,719,UK,resolved,22.0,warned,human,abuse_queue,6953
52,2024-08-29,spam,comment,749,Brazil,resolved,3.0,rejected,auto,spam_queue,5062
53,2024-09-21,hate,short,1553,Brazil,resolved,8.0,removed,auto,abuse_queue,5867
54,2024-12-11,copyright,video,364,India,resolved,2.0,ignored,auto,copyright_queue,7387
55,2024-02-22,spam,video,579,Germany,resolved,23.0,removed,human,spam_queue,487
56,2024-12-05,hate,short,2553,UK,resolved,11.0,removed,auto,abuse_queue,7578
57,2024-04-01,harassment,video,1639,Germany,resolved,9.0,removed,auto,abuse_queue,1698
58,2024-09-20,spam,video,10,India,resolved,1.0,warned,auto,spam_queue,5577
59,2024-02-04,spam,comment,459,Germany,resolved,2.0,warned,auto,spam_queue,4033
60,2024-07-24,spam,comment,3324,India,resolved,4.0,removed,auto,spam_queue,5153
61,2024-03-21,copyright,video,2473,US,resolved,2.0,ignored,auto,copyright_queue,1808
62,2024-02-19,spam,video,4304,Brazil,resolved,20.0,removed,human,spam_queue,4850
63,2024-12-25,harassment,comment,2756,Germany,resolved,41.0,removed,human,abuse_queue,5067
